3LNO Amplaice
103								
FRV								
1	0.31	37.86	98.69	150.59	56.5	41.33	51.94	53.82	38.25	24.42	20.03	12.56	4.01	2.01	1.58
1	0.22	8.56	73.59	80.28	150.38	61.47	20.27	43.33	47.63	27.03	25.47	22.44	8.92	4.25	4.29
1	7.29	14.48	28.1	73.07	93.5	148.54	44.59	20.04	27.12	25.99	17.58	16.04	8.98	5.41	2.45
1	5.07	131.19	223.16	78.49	149.66	163.83	143.87	55.1	31.86	16.51	13.68	8.24	6.22	4.66	7.58
1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	16.91	27.76	66.9	320.19	193.86	89.64	144.47	115.49	82.61	16.8	10.94	5.06	4.37	3.82	7.49
1	10.72	132.94	98.21	101.68	238.97	116.46	91.95	117.02	70.14	42.58	14.8	7.29	3.8	3.32	5.52
1	7.5	115.38	189.72	82.2	72.3	130.15	44.73	34.02	36.72	24.99	16.12	6.08	1.74	1.93	8.21
1	3.56	125.19	165.59	191.19	85.36	146.91	138.16	40.6	28.07	18.36	12.12	8.91	3.26	1.23	5.94
1	0	79.15	207.66	209.45	189.29	116.47	97	66.68	20.59	13.17	10.89	10.52	3.07	0.97	5.38
1	33.28	44.1	193.81	234.09	159.08	173.32	114.51	71.45	46.93	22.83	12.02	7.08	4.48	2.06	4.98
1	18.93	164.34	126.91	267.13	219.65	187.01	182.65	98.24	53.39	33.13	17.57	12.09	5.1	3.14	5.33
1	8.5	302.99	392.74	126.99	175.92	196.79	140.46	121.48	67.11	37.58	27.12	12.16	8.03	7.21	7.94
1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	1.78	76.28	285.11	315.37	75.3	46.82	41.93	30.35	16.45	12.03	6.15	3.73	1.97	1.5	0.65
SPRV								
1997	2016							
1	1	0.5	0.5					
1	15							
1	0	0.1	1.96	4.8	6.14	19.92	25.74	13.68	4.55	1.26	0.48	0.4	0.12	0.11	0.091	0	0.15	0.45	5.87	8.58	14.25	29.99	48.49	33.83	13.68	5.39	1.97	0.95	1.03	0.381	0	21.79	14.37	4.14	12.89	37.92	32.15	42.53	60.52	50.12	20.46	9.19	5	1.87	2.471	0	50.52	189.34	67.85	11	19.64	49.71	39.49	51.9	46.98	29.09	13.56	6.38	0.97	5.491	1.8	25.51	256.81	78.07	4.81	11.44	30.59	28.5	27.17	20.44	21.2	8.26	2.27	0.96	1.381	0.05	10.78	25.04	165.33	38.4	11.4	10.04	18.84	14.28	8.86	10.67	7.45	1.84	1.03	0.421	0.65	4.19	35.35	57.98	235.17	56.43	22.53	16.91	19.43	8.11	8.5	10.41	3.88	1.73	1.411	56.59	20.5	13.07	35.03	76.8	204.71	47.14	12.83	11.17	11.95	6.44	7.9	4.39	3.8	0.971	1.71	76.18	130.08	17.07	40.63	91.46	121.13	42.37	17.82	6.11	4.39	4.29	3.3	2.38	3.381	0.1	13.8	161.73	217.72	105.85	85.84	92.85	78.66	57.88	25.6	11.87	6.46	3.47	2.28	2.831	4.94	1.2	10.55	158.79	97.64	33.62	61.14	45.09	56.8	10.92	3.75	3.07	2.24	2.27	4.011	3.81	65.15	10.66	33.75	282.61	121.99	36.95	75.11	38.91	32.57	8.91	4.69	1.69	2.44	6.111	2.61	3.55	30.98	6.74	50.51	97.16	35.08	19.65	17.17	23.13	20.54	8.02	1.5	1.11	7.311	0.32	41.96	28.13	67.85	43.5	108.88	141	29.71	13.66	9.56	9.44	11.11	3.5	1.34	6.691	0.08	6.42	84.24	70.92	116.78	137.16	128.1	82.41	14.83	9.97	8.76	6.36	2.18	0.9	3.11	0.68	0.32	3.96	58.35	71.4	167.96	125.2	84.46	49.52	17.64	6.98	5.1	2.67	1.65	2.181	2.52	0.72	1.07	12.15	132.64	160.5	182.84	64.82	41.94	21.77	8.17	5.23	2.62	1.31	2.361	0.32	2.73	14.1	9.61	9.69	60.94	67.5	74.63	42.27	22.41	14.86	3.64	1.71	1.88	2.431	0.43	6.45	60.61	19.64	13.86	77.09	157.46	39	27.75	10.99	6.05	2.1	0.71	0.38	1.381	0	0.01	4.7	20.11	7.13	11.01	30.38	22.48	10.89	7.34	3.28	1.94	0.65	0.73	0.49